""
Nested Model Comparison

Df,AIC,BIC,Chisq,Chisq diff,RMSEA,Df diff,Pr(>Chisq)
492,22861.2237265779,23491.5034615372,1186.15655953661,NA,NA,NA,NA
501,22844.0999520404,23438.0173945981,1187.03278499903,0.876225462416869,0,9,0.999673726260781


Fit Indices Summaries

model,chisq,df,pvalue,cfi,tli,rmsea,rmsea.ci.lower,rmsea.ci.upper,srmr
metric,1186.15655953661,492,0,0.889508550463242,0.876033983446564,0.0819665238325791,0.0760218088747601,0.0879335516118943,0.0752269326890842
scalar,1187.03278499903,501,0,0.890801641498738,0.879685640932741,0.0807502592113109,0.0748342293455626,0.0866854794760614,0.075135981247896
