""
Nested Model Comparison

Df,AIC,BIC,Chisq,Chisq diff,RMSEA,Df diff,Pr(>Chisq)
492,20943.2050617229,21570.4847042215,1141.24201498892,NA,NA,NA,NA
510,20943.4413815299,21498.3426037401,1177.47833479584,36.2363198069174,0.0701291761701316,18,0.00657998609694414


Fit Indices Summaries

model,chisq,df,pvalue,cfi,tli,rmsea,rmsea.ci.lower,rmsea.ci.upper,srmr
metric,1141.24201498892,492,0,0.8817965468471,0.867381491584551,0.0800363264442088,0.0739764469058632,0.0861121974183743,0.073647441968235
scalar,1177.47833479584,510,0,0.878476373592423,0.868468545535329,0.0797076286264915,0.0737483199738185,0.0856815279752722,0.0754577552440995
