""
Nested Model Comparison

Df,AIC,BIC,Chisq,Chisq diff,RMSEA,Df diff,Pr(>Chisq)
492,22861.2237265779,23491.5034615372,1186.15655953661,NA,NA,NA,NA
510,22872.0834911026,23429.6386412589,1233.01632406128,46.8597645246746,0.0873776764388994,18,0.000221987314884211


Fit Indices Summaries

model,chisq,df,pvalue,cfi,tli,rmsea,rmsea.ci.lower,rmsea.ci.upper,srmr
metric,1186.15655953661,492,0,0.889508550463242,0.876033983446564,0.0819665238325791,0.0760218088747601,0.0879335516118943,0.0752269326890842
scalar,1233.01632406128,510,0,0.884914835728702,0.875437233965183,0.0821635728226622,0.0763284228521215,0.0880206648136847,0.0777881822801954
