""
Nested Model Comparison

Df,AIC,BIC,Chisq,Chisq diff,RMSEA,Df diff,Pr(>Chisq)
474,20953.0581301574,21652.7161929442,1115.09508342337,NA,NA,NA,NA
492,20943.2050617229,21570.4847042215,1141.24201498892,26.1469315655547,0.0468734771505375,18,0.0964455085802502


Fit Indices Summaries

model,chisq,df,pvalue,cfi,tli,rmsea,rmsea.ci.lower,rmsea.ci.upper,srmr
config,1115.09508342337,474,0,0.883279807975333,0.864072687768742,0.0810286199301928,0.0748770042569899,0.087199448025986,0.0672482272366741
metric,1141.24201498892,492,0,0.8817965468471,0.867381491584551,0.0800363264442088,0.0739764469058632,0.0861121974183743,0.073647441968235
