"","id","lhs","op","rhs","user","block","group","free","ustart","exo","label","plabel","start","est","se","eq"
"1",12,"duty","=~","R_C3_4",1,1,1,9,NA,0,".p12.",".p12.",1.09541790156876,1.1033949216686,0.0836643063705692,"duty =~ R_C3_4"
"2",72,"C1_3","~1","",0,1,1,66,NA,0,".p72.",".p72.",4.40816326530612,4.37962196518941,0.0450427399979952,"C1_3 ~1 "
"3",74,"C2_1","~1","",0,1,1,68,NA,0,".p74.",".p74.",3.91326530612245,4.10321984071836,0.0567650528745753,"C2_1 ~1 "
"4",89,"R_C5_4","~1","",0,1,1,83,NA,0,".p89.",".p89.",4.00541999164041,3.90473959068631,0.0801952212827599,"R_C5_4 ~1 "
"5",111,"duty","=~","R_C3_4",1,2,2,96,NA,0,".p12.",".p111.",0.996418455281629,1.1033949216686,0.0836643063705693,"duty =~ R_C3_4"
"6",171,"C1_3","~1","",0,2,2,153,NA,0,".p72.",".p171.",4.22060587217431,4.37962196518941,0.0450427399979953,"C1_3 ~1 "
"7",173,"C2_1","~1","",0,2,2,155,NA,0,".p74.",".p173.",4.01284096820372,4.10321984071836,0.0567650528745753,"C2_1 ~1 "
"8",188,"R_C5_4","~1","",0,2,2,170,NA,0,".p89.",".p188.",3.5462962962963,3.90473959068631,0.0801952212827599,"R_C5_4 ~1 "
