"","chisq","df","pvalue","cfi","tli","rmsea","rmsea.ci.lower","rmsea.ci.upper","srmr","Model"
"fitm.config","1 115.10","474.00","0.00","0.88","0.86","0.08","0.07","0.09","0.07","M1 Configural Invariance"
"fitm.metric","1 141.24","492.00","0.00","0.88","0.87","0.08","0.07","0.09","0.07","M2 Metric Invariance"
"fitm.scalar","1 177.48","510.00","0.00","0.88","0.87","0.08","0.07","0.09","0.08","M3 Scalar Invariance"
"fitm.scalar","1 145.27","506.00","0.00","0.88","0.87","0.08","0.07","0.08","0.07","M3a Partial Scalar Invariance"
